original_name,authoritative_name,uni_id,uni_data_source
Southwestern College,Southwestern College,188207,ipeds
Southwestern College,Southwestern College,188207,ipeds
Spelman College,Spelman College,141060,ipeds
St Olaf College,St Olaf College,174844,ipeds
Stanford,Stanford University,243744,ipeds
Syracuse,Syracuse University,196413,ipeds
Temple,Temple University,216339,ipeds
Temple University,Temple University,216339,ipeds
Texas Southern University,Texas Southern University,229063,ipeds
Texas State,Texas State University,228459,ipeds
Texas State University,Texas State University,228459,ipeds
The New School,The New School,193654,ipeds
The University of Texas at San Antonio,The University of Texas at San Antonio,229027,ipeds
Towson University,Towson University,164076,ipeds
Trent,Trent University,IAU-016840-1,glued
Tufts,Tufts University,168148,ipeds
Tufts University,Tufts University,168148,ipeds
Université de Montréal (UdeM),Université de Montréal (UdeM),IAU-019623-1,glued
Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),IAU-019703-1,glued
University at Buffalo,University at Buffalo,196088,ipeds
University of California Berkeley,University of California-Berkeley,110635,ipeds
University of California Davis,University of California-Davis,110644,ipeds
University of California Merced,University of California-Merced,445188,ipeds
University of Central Florida,University of Central Florida,132903,ipeds
University of Chicago,University of Chicago,144050,ipeds
University of Florida,University of Florida,134130,ipeds
University of Houston,University of Houston,225511,ipeds
University of Idaho,University of Idaho,142285,ipeds
University of Illinois at Chicago,University of Illinois at Chicago,145600,ipeds
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,145637,ipeds
University of Kansas,University of Kansas,155317,ipeds
University of Louisville,University of Louisville,157289,ipeds
University of Memphis,University of Memphis,220862,ipeds
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,170976,ipeds
University of New Mexico,University of New Mexico-Main Campus,187985,ipeds
University of North Texas,University of North Texas,227216,ipeds
University of Notre Dame,University of Notre Dame,152080,ipeds
University of Oregon,University of Oregon,209551,ipeds
University of Pennsylvania,University of Pennsylvania,215062,ipeds
University of Puget Sound,University of Puget Sound,236328,ipeds
University of San Diego,University of San Diego,122436,ipeds
University of Southern California,University of Southern California,123961,ipeds
University of the District of Columbia,University of the District of Columbia,131399,ipeds
University of Utah,University of Utah,230764,ipeds
University of Virginia,University of Virginia-Main Campus,234076,ipeds
University of Windsor,University of Windsor,IAU-020639-1,glued
Valdosta State University,Valdosta State University,141264,ipeds
Wake Forest University,Wake Forest University,199847,ipeds
Washington State University,Washington State University,236939,ipeds
Weber State,Weber State University,230782,ipeds
Wellesley College,Wellesley College,168218,ipeds
Wesleyan University,Wesleyan University,130697,ipeds
West Chester University of Pennsylvania,West Chester University of Pennsylvania,216764,ipeds
Western Illinois University,Western Illinois University,149772,ipeds
Westminster College,Westminster College,179946,ipeds
Westminster College,Westminster College,179946,ipeds
Westminster College,Westminster College,179946,ipeds
Westminster College,Westminster College,216807,ipeds
Westminster College,Westminster College,216807,ipeds
Westminster College,Westminster College,216807,ipeds
Westminster College,Westminster College,230807,ipeds
Westminster College,Westminster College,230807,ipeds
Westminster College,Westminster College,230807,ipeds
Worcester State University,Worcester State University,168430,ipeds
Wright State University,Wright State University-Main Campus,206604,ipeds
Yale,Yale University,130794,ipeds
Yale University,Yale University,130794,ipeds
York,York University,IAU-021739-1,glued
York University,York University,IAU-021739-1,glued
