original_name,authoritative_name,uni_id,uni_data_source,canonical_event_key,notes
Ball State University,Ball State University,NA,NA,20131204_Muncie_Demonstration_SexualAssault,
Ball State University,Ball State University,NA,NA,20141001_Muncie_SynmbolicDisplay_ProLife,
Ball State University,Ball State University,NA,NA,20141203_Muncie_Vigil_PoliceViolence,
Ball State University,Ball State University,NA,NA,20140417_Muncie_March_SexualAssault,
Murray State University,Murray State University,157401,ipeds,20160225_Frankfort_March_Publicfunding,
Murray State University,Murray State University,157401,ipeds,20160215_Murray_Petition_Publicfunding,
Murray State University,Murray State University,157401,ipeds,20160128_Frankfort_Rally_Publicfunding,
Murray State University,Murray State University,157401,ipeds,20161109_Murray_Rally_TrumpAgainst,
Murray State University,Murray State University,157401,ipeds,20170121_Murray_March_TrumpAgainst,
Murray State University,Murray State University,157401,ipeds,20170410_Murray_Demonstration_AbortionAgainst,
Murray State University,Murray State University,157401,ipeds,20180313_Murray_Rally_Feminism,
Murray State University,Murray State University,157401,ipeds,20140828_Murray_Rally_PoliceViolence,
Murray State University,Murray State University,157401,ipeds,20140904_Murray_Rally_PoliceViolence,
Murray State University,Murray State University,157401,ipeds,20140909_Murray_Rally_HateSpeech,
Kentucky State University,Kentucky State University,157058,ipeds,20160225_Frankfort_March_Publicfunding,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20160401_Chicago-ChicagoState_Rally_Labour,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20160205_Charleston_Rally_PublicFundingForHigherEducation,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20160401_Chicago_Rally_Labour,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20161004_Charleston_March_SexualAssault,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20170209_Charleston_March_TrumpAgainst,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20170908_Charleston_Rally_Immigration(for),
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20130919_Charleston_Occupation_UniversityGovernance,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20140827_Charleston_March_PoliceViolence,
Eastern Illinois University,Eastern Illinois University,144892,ipeds,20141202_Charleston_Vigil_PoliceViolence,
Lafayette College,Lafayette College,NA,NA,20151001_Easton_Rally_Environmental,
Lafayette College,Lafayette College,NA,NA,20160830_Easton_HungerStrike_UniversityGovernance,
Lafayette College,Lafayette College,NA,NA,20160924_Easton_Rally_PoliceViolence,
Lafayette College,Lafayette College,NA,NA,20161111_Easton_OtherForm_Trump(Against),
Lafayette College,Lafayette College,NA,NA,20161116_Easton_Strike_Trump(Against),
Lafayette College,Lafayette College,NA,NA,20170128_Easton_Petition_Trump(Against),
Lafayette College,Lafayette College,NA,NA,20160923_Dallas_SymbolicAction_PoliceViolence,
Lafayette College,Lafayette College,NA,NA,20180319_Easton_Demonstration_UniversityGovernance,
Lafayette College,Lafayette College,NA,NA,20170929_Easton_Walkout_TrumpAgainst,
Lafayette College,Lafayette College,NA,NA,20141205_Easton_SymbolicDisplay_PoliceViolence,
Lafayette College,Lafayette College,NA,NA,20141207_Easton_SymbolicDisplay_PoliceViolence,
Lafayette College,Lafayette College,NA,NA,20150327_Easton_Rally_OtherIssue,
Lafayette College,Lafayette College,NA,NA,20150504_Easton_SymbolicDisplay_PoliceViolence,
California State University Fresno,California State University-Fresno,110556,ipeds,20160210_Fresno_OtherForm_Labor,
California State University Fresno,California State University-Fresno,110556,ipeds,20160216_Fresno_March_Feminism,
California State University Fresno,California State University-Fresno,110556,ipeds,20161115_Fresno_March_TrumpAgainst,
California State University Fresno,California State University-Fresno,110556,ipeds,20170218_Fresno_March_TrumpAgainst,
California State University Fresno,California State University-Fresno,110556,ipeds,20171118_Fresno_March_ImmigrationFor,
California State University Fresno,California State University-Fresno,110556,ipeds,20180320_Fresno_OtherForm_MemorialsAndAnniversaries,
California State University Fresno,California State University-Fresno,110556,ipeds,20180320_Fresno_TransgenderIssuesAgainst,
California State University Fresno,California State University-Fresno,110556,ipeds,20180320_Fresno_TransgenderIssuesFor,
California State University Fresno,California State University-Fresno,110556,ipeds,20140129_Fresno_Rally_ImmigrationFor,
California State University Fresno,California State University-Fresno,110556,ipeds,20141001_Fresno_Rally_Tuition,
California State University Fresno,California State University-Fresno,110556,ipeds,20141202_Fresno_Rally_Tuition,
University of Indianapolis,University of Indianapolis,NA,NA,20151013_Indianapolis_Demonstration_OtherIssue,
Butler University,Butler University,NA,NA,20151014_Indianapolis_Rally_LGB,
Butler University,Butler University,NA,NA,20151014_Indianapolis_Rally_OtherIssue,
Butler University,Butler University,NA,NA,20161115_Indianapolis_Rally_Environmental,
Butler University,Butler University,NA,NA,20170204_Indianapolis_March_Trump(Against),
Butler University,Butler University,NA,NA,20141212_Indianapolis_Rally_PoliceViolence,
Washburn University,Washburn University,NA,NA,20160208_Lawrence_Rally_GunControl,
Washburn University,Washburn University,NA,NA,20160208_Topeka_Rally_Guncontrol,
Washburn University,Washburn University,NA,NA,20171012_Topeka_Rally_SexualAssault,
Western Illinois University,Western Illinois University,149772,ipeds,20160217_Macomb_March_PublicFunding,
Western Illinois University,Western Illinois University,149772,ipeds,20151022_Macomb_March_Rally,
Western Illinois University,Western Illinois University,149772,ipeds,20160216_Macomb_March_PublicFunding,
Western Illinois University,Western Illinois University,149772,ipeds,20160331_Macomb_Rally_Economy,
Western Illinois University,Western Illinois University,149772,ipeds,20160419_Macomb_Walkout_PublicFunding,
Western Illinois University,Western Illinois University,149772,ipeds,20180208_Macomb_Demonstration_Labour,
Western Illinois University,Western Illinois University,149772,ipeds,20180423_Macomb_March_Labour,
Western Illinois University,Western Illinois University,149772,ipeds,20140327_Macomb_March_EconomyInequality,
Rock Valley College,Rock Valley College,NA,NA,20150916_Rockford_Strike_Labor,
University of Southern California,University of Southern California,123961,ipeds,20161110_LosAngeles_March_Trump(Against),
University of Southern California,University of Southern California,123961,ipeds,20161109_LosAngeles_Rally_Trump(Against),
University of Southern California,University of Southern California,123961,ipeds,20171129_LosAngeles_Walkout_LabourAndWork,
University of Southern California,University of Southern California,123961,ipeds,20171101_LosAngeles_LabourAndWork,
University of Southern California,University of Southern California,123961,ipeds,20151112_LosAngeles-USC_Rally_Anti-racism,
University of Southern California,University of Southern California,123961,ipeds,20160210_LosAngeles_March_PoliceViolence,
University of Southern California,University of Southern California,123961,ipeds,20160323_LosAngeles_Demonstration_Faith-BasedDiscrimination,
University of Southern California,University of Southern California,123961,ipeds,20160210_LosAngeles_Strike_Labour,
University of Southern California,University of Southern California,123961,ipeds,20151030_LosAngeles_Rally_UniversityGovernance,
University of Southern California,University of Southern California,123961,ipeds,20151027_LosAngeles_March_Labour,
University of Southern California,University of Southern California,123961,ipeds,20170118_LosAngeles_Rally_Trump(Against),
University of Southern California,University of Southern California,123961,ipeds,20170120_LosAngeles_Rally_Trump(Against),
University of Southern California,University of Southern California,123961,ipeds,20161109_LosAngeles_Rally_Trump(Against),
University of Southern California,University of Southern California,123961,ipeds,20170203_LosAngeles_Rally_Immigration(for),
University of Southern California,University of Southern California,123961,ipeds,20170822_LosAngeles_March_WhiteSupremacyAgainst,
University of Southern California,University of Southern California,123961,ipeds,20171129_LosAngeles_Walkout_LabourAndWork,
University of Southern California,University of Southern California,123961,ipeds,20180322_LosAngeles_Rally_GunControl,
University of Southern California,University of Southern California,123961,ipeds,20180326_LosAngeles_March_LabourAndWork,
University of Southern California,University of Southern California,123961,ipeds,20180405_LosAngeles_Rally_PoliceViolence,
University of Southern California,University of Southern California,123961,ipeds,20180406_LosAngeles_Petition_Environmental,
University of Southern California,University of Southern California,123961,ipeds,20180417_LosAngeles_March_LabourAndWork,
Texas State,Texas State University,228459,ipeds,20151112_SanMarcos_March_Tuition,
Texas State,Texas State University,228459,ipeds,20151112_SanMarcos_March_Tuition,
Santa Clara University,Santa Clara University,NA,NA,20151015_SantaClara_Petition_Feminism,
Santa Clara University,Santa Clara University,NA,NA,20151015_SantaClara_Rally_Feminism,
Santa Clara University,Santa Clara University,NA,NA,20170501_SantaClara_SymbolicDisplay_Immigration(For),
Santa Clara University,Santa Clara University,NA,NA,20150119_SantaClara_March_PoliceViolence,
Union College,Union College,NA,NA,20160427_Schenectady_March_Sexualassault,
Union College,Union College,NA,NA,20140412_Schenectady_Riot_PoliceViolence,
Union College,Union College,NA,NA,20140412_Schenectady_March_LGB+,
SUNY College at Plattsburgh,SUNY College at Plattsburgh,NA,NA,20160416_Plattsburgh_March_OtherIssue,
SUNY College at Plattsburgh,SUNY College at Plattsburgh,NA,NA,20160304_Cortland_Walkout_Tuition,
SUNY College at Plattsburgh,SUNY College at Plattsburgh,NA,NA,20180322_Plattsburgh_March_AntiRacism,
SUNY College at Plattsburgh,SUNY College at Plattsburgh,NA,NA,20180324_Plattsburgh_March_GunControl,
University of Chicago,University of Chicago,144050,ipeds,20161104_Chicago_March_IndigenousIssues,
University of Chicago,University of Chicago,144050,ipeds,20180209_NewYorkCity_Demonstration_LabourAndWork,
University of Chicago,University of Chicago,144050,ipeds,20151030_Chicago_Rally_PoliceViolence,
University of Chicago,University of Chicago,144050,ipeds,20151113_Chicago-UChicago_Rally_Anti-racism,
University of Chicago,University of Chicago,144050,ipeds,20160217_Chicago_Disruption_PoliceViolence,
University of Chicago,University of Chicago,144050,ipeds,20160425_Chicago_Walkout_OtherIssue,
University of Chicago,University of Chicago,144050,ipeds,20151102_Chicago_Blockade_Economy,
University of Chicago,University of Chicago,144050,ipeds,20151113_Chicago_Disruption_Environmental,
